,Tree ID,Carbon Storage (kg),Height (m),Canopy Cover (m2)
519,1432.0,4.5,4.0,0.8
520,1433.0,6.5,4.0,0.8
521,1434.0,6.5,4.0,0.8
522,1435.0,27.9,4.0,7.1
523,1436.0,39.0,4.5,12.6
524,1437.0,4.5,4.0,0.8
525,1438.0,4.5,4.0,0.8
526,1439.0,4.5,4.0,0.8
527,1440.0,2.9,3.0,0.8
528,1441.0,2.9,4.0,0.8
529,1442.0,52.4,5.0,12.6
530,1443.0,8.9,4.0,1.8
531,1444.0,45.5,5.0,19.6
532,1445.0,33.2,6.0,19.6
533,1446.0,33.2,6.0,19.6
534,1447.0,33.2,6.0,19.6
535,1448.0,45.5,6.5,19.6
536,1449.0,45.5,6.5,19.6
537,1450.0,8.9,4.0,7.1
538,1451.0,39.0,6.0,19.6
539,1452.0,23.1,4.5,12.6
540,1453.0,137.0,6.0,28.3
541,1454.0,20.2,7.0,3.1
542,1455.0,20.2,6.0,3.1
543,1456.0,31.3,7.0,3.1
544,1457.0,37.9,8.0,3.1
545,1458.0,25.4,6.0,7.1
546,1459.0,25.4,6.0,7.1
547,1462.0,1.3,3.0,1.8
548,1463.0,349.5,7.0,50.3
549,1464.0,101.1,7.0,12.6
550,1465.0,252.8,8.0,28.3
551,1468.0,33.9,8.0,0.8
552,1469.0,47.3,9.0,0.8
553,1470.0,47.3,6.0,0.8
554,1471.0,8.3,6.0,7.1
555,1472.0,2.3,4.0,3.1
556,1473.0,26.5,6.0,19.6
557,1474.0,14.5,6.0,7.1
558,1489.0,349.5,7.0,50.3
559,1490.0,124.7,7.0,19.6
560,1491.0,176.3,10.0,50.3
561,1492.0,183.3,12.0,78.5
562,1493.0,169.0,8.0,28.3
563,1494.0,13.2,6.0,7.1
564,1495.0,13.2,6.0,3.1
565,1496.0,13.2,6.0,7.1
566,1497.0,26.3,7.0,28.3
567,1499.0,39.0,6.0,12.6
568,1500.0,27.9,6.0,12.6
569,1501.0,39.0,6.0,12.6
570,1502.0,33.2,6.0,12.6
571,1503.0,45.5,6.0,12.6
572,1504.0,27.9,5.0,4.9
573,1505.0,45.5,6.0,15.9
574,1506.0,15.0,5.0,7.1
575,1507.0,6.5,4.0,1.8
576,1508.0,33.2,5.5,19.6
577,1509.0,27.9,4.5,12.6
578,1510.0,6.5,3.5,1.8
579,1511.0,8.9,4.0,3.1
580,1512.0,6.5,3.0,0.8
581,1513.0,11.7,4.0,3.1
582,1514.0,6.5,3.5,1.8
583,1515.0,6.5,3.5,1.8
584,1516.0,6.5,3.5,1.8
585,1517.0,18.8,4.0,12.6
586,1518.0,23.1,4.5,19.6
587,1519.0,4.5,4.0,0.8
588,1520.0,33.2,6.0,12.6
589,1521.0,27.9,5.0,12.6
590,1522.0,11.7,4.0,1.8
591,1523.0,15.0,4.0,7.1
592,1524.0,15.0,4.0,7.1
593,1525.0,23.1,4.5,12.6
594,1526.0,15.0,4.0,4.9
595,1527.0,11.7,3.0,0.8
596,1576.0,15.6,6.0,19.6
597,1577.0,15.6,6.0,19.6
598,1578.0,15.6,6.0,19.6
599,1582.0,15.6,5.0,7.1
600,1583.0,15.6,5.0,7.1
601,1584.0,15.6,5.0,7.1
602,1585.0,15.6,5.0,7.1
603,1612.0,15.6,5.0,7.1
604,1613.0,15.6,6.0,19.6
605,1614.0,15.6,6.0,19.6
606,1615.0,15.6,5.0,7.1
607,1616.0,10.3,5.0,4.9
608,1617.0,10.3,5.0,4.9
609,1618.0,10.3,5.0,4.9
610,1619.0,15.6,5.0,7.1
611,1620.0,15.6,6.0,19.6
612,1621.0,15.6,6.0,19.6
613,1622.0,13.7,6.0,19.6
614,1623.0,15.6,6.0,19.6
615,1624.0,12.0,6.0,12.6
616,1625.0,12.0,6.0,12.6
617,1626.0,19.6,6.0,12.6
618,1627.0,12.0,6.0,12.6
619,1628.0,12.0,6.0,12.6
620,1629.0,12.0,6.0,12.6
621,1630.0,7.3,5.0,4.9
622,1631.0,10.3,5.0,4.9
623,1632.0,15.6,5.0,7.1
624,1633.0,10.3,5.0,4.9
625,1634.0,10.3,5.0,7.1
626,1635.0,10.3,5.0,7.1
627,1636.0,10.3,5.0,7.1
628,1637.0,7.3,5.0,4.9
629,1638.0,10.3,5.0,7.1
630,1639.0,10.3,5.0,7.1
631,1640.0,15.6,5.0,7.1
632,1641.0,15.6,6.0,19.6
633,1642.0,15.6,5.0,7.1
634,1643.0,15.6,6.0,19.6
635,1644.0,15.6,6.0,19.6
636,1645.0,15.6,5.0,7.1
637,1646.0,15.6,5.0,7.1
638,1647.0,15.6,5.0,7.1
639,1648.0,15.6,6.0,19.6
